Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verification of the name field in the login page with more than 100 characters.,EL-27,10026,Bug,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Neel,620b2fbf156f53006b2457db,18/Feb/22 2:43 PM,18/Feb/22 3:35 PM,21/Feb/22 9:52 AM,,,0,"1.Navigate to the login page.

2.Type an username with more than 100 characters.

3.Username should not accept name with more than 100 characters",_QA_,Neel,620b2fbf156f53006b2457db,,,,,,,,,EL-7,,,,,,,,{},,,,0|i0000r:,,EL Sprint 1,,,,,,,,To Do
"Verify the field ""Type""",EL-26,10025,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 2:20 PM,17/Feb/22 2:53 PM,17/Feb/22 2:23 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00003:f,,EL Sprint 1,,,,,,,,To Do
"Verify the Name label ""User Group""",EL-25,10024,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:25 PM,17/Feb/22 2:53 PM,17/Feb/22 2:07 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00004:i,,EL Sprint 1,,,,,,,,To Do
Verify the white space in name field,EL-24,10023,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:25 PM,17/Feb/22 2:54 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00003:c,,EL Sprint 1,,,,,,,,To Do
Verify the name field type,EL-23,10022,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:25 PM,17/Feb/22 2:53 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00004:9,,EL Sprint 1,,,,,,,,To Do
Verify the name field with 100 characters,EL-22,10021,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:25 PM,17/Feb/22 2:54 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00003:b,,EL Sprint 1,,,,,,,,To Do
Verify the name field with astrik sign (*),EL-21,10020,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:25 PM,17/Feb/22 2:53 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00003:d,,EL Sprint 1,,,,,,,,To Do
Verify the name field with alpha numeric value,EL-20,10019,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:25 PM,17/Feb/22 2:53 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00003:9,,EL Sprint 1,,,,,,,,To Do
Verify the name field with Digits,EL-19,10018,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:24 PM,17/Feb/22 2:54 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00006:i,,EL Sprint 1,,,,,,,,To Do
Verify the Name field with more than 100 Characters,EL-18,10017,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:24 PM,17/Feb/22 2:53 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i0000h:,,EL Sprint 1,,,,,,,,To Do
Verify the name field with blank value,EL-17,10016,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:24 PM,17/Feb/22 2:53 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00001:,,EL Sprint 1,,,,,,,,To Do
Verify the Friends Name field with Special characters,EL-16,10015,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 4:24 PM,17/Feb/22 2:53 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-15,,,,,,,{},,,,0|i00003:i,,EL Sprint 1,,,,,,,,To Do
Verification of the name field in the friends module of the Elearning application,EL-15,10014,Story,In Progress,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Neel,620b2fbf156f53006b2457db,16/Feb/22 4:16 PM,17/Feb/22 2:56 PM,18/Feb/22 2:35 PM,,,0,"1.Open the Elearning application.

2. Navigate to the homepage.

3 . Select Social Network

4. Select Friends.

5. Perform the test cases.",,Neel,620b2fbf156f53006b2457db,,,,,,,,,,,,,,,,,{},,,,0|i0000j:,,EL Sprint 1,,,,,,,,In Progress
Verify that the password enterd is hidden,EL-14,10013,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 11:49 AM,17/Feb/22 2:53 PM,16/Feb/22 3:35 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-7,,,,,,,{},,,,0|i00002:,,EL Sprint 1,,,,,,,,To Do
Verify that the Username field is less than 30 characters,EL-13,10012,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 11:49 AM,17/Feb/22 2:53 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-7,,,,,,,{},,,,0|i00004:,,EL Sprint 1,,,,,,,,To Do
Verify the Username field with Digits,EL-12,10011,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 11:48 AM,17/Feb/22 2:53 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-7,,,,,,,{},,,,0|hzzzzr:,,EL Sprint 1,,,,,,,,To Do
Verify the Username field with more than 100 Characters,EL-11,10010,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 11:48 AM,18/Feb/22 2:43 PM,18/Feb/22 2:37 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-7,EL-27,,,,,,{},,,,0|i00006:,,EL Sprint 1,,,,,,,,To Do
"Verify the login page for both, when the field is blank and Submit button is clicked",EL-10,10009,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 11:48 AM,17/Feb/22 2:52 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-7,,,,,,,{},,,,0|i00005:,,EL Sprint 1,,,,,,,,To Do
Verify if a user cannot login with a valid username and an invalid password.,EL-9,10008,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 11:48 AM,17/Feb/22 2:52 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-7,,,,,,,{},,,,0|hzzzzz:,,EL Sprint 1,,,,,,,,To Do
Verify if a user will be able to login with a valid username and valid password.,EL-8,10007,Test,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 11:48 AM,17/Feb/22 2:52 PM,21/Feb/22 9:53 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,EL-7,,,,,,,{},,,,0|i00003:,,EL Sprint 1,,,,,,,,To Do
To verify the working of login page,EL-7,10006,Story,To Do,EL,Elearning,software,Neel,620b2fbf156f53006b2457db,,Medium,,,,Neel,620b2fbf156f53006b2457db,Neel,620b2fbf156f53006b2457db,16/Feb/22 1:44 AM,18/Feb/22 3:35 PM,16/Feb/22 3:44 PM,,,0,"# Navigate to the elearning application.
# Open the login page.
# Follow the test cases.",,Neel,620b2fbf156f53006b2457db,,,,,,,,,,,,,,,,,{},,,,0|i0000i:,,EL Sprint 1,,,,,,,,To Do
